AGS,GEN,question_01,question_02
01053129,Wentorf bei Hamburg,54,48
01053008,Behlendorf,39,53
01053009,Berkenthin,98,99
01053011,Bliestorf,66,96
01053024,Düchelsdorf,63,52
01053034,Göldenitz,93,80
01053061,Kastorf,59,98
01053067,Klempau,57,56
01053075,Krummesse,93,14
01053094,Niendorf bei Berkenthin,50,51
01053103,Rondeshagen,39,40
01053120,Sierksrade,32,87
01053002,Alt-Mölln,58,47
01053005,Bälau,73,11
01053013,Borstorf,49,86
01053014,Breitenfelde,77,66
01053037,Grambek,51,26
01053056,Hornbek,59,60
01053084,Lehmrade,17,80
01053095,Niendorf/Stecknitz,24,36
01053113,Schretstaken,74,14
01053125,Talkau,32,70
01053134,Woltersdorf,20,25
01053010,Besenthal,37,77
01053015,Bröthen,23,15
01053020,Büchen,78,25
01053029,Fitzen,62,100
01053035,Göttin,73,91
01053046,Gudow,86,35
01053048,Güster,76,13
01053064,Klein Pampau,79,28
01053080,Langenlehsten,53,89
01053092,Müssen,17,81
01053104,Roseburg,96,65
01053115,Schulendorf,53,81
01053119,Siebeneichen,57,36
01053126,Tramm,64,54
01053132,Witzeeze,45,72
01053003,Aumühle,88,51
01053012,Börnsen,88,75
01053023,Dassendorf,73,70
01053028,Escheburg,57,39
01053050,Hamwarde,83,44
01053053,Hohenhorn,25,20
01053072,Kröppelshagen-Fahrendorf,88,46
01053131,Wiershop,79,77
01053133,Wohltorf,28,26
01053135,Worth,45,19
01053006,Basedow,44,62
01053019,Buchhorst,29,25
01053022,Dalldorf,26,18
01053058,Juliusburg,48,71
01053073,Krüzen,36,13
01053074,Krukow,67,62
01053082,Lanze,81,100
01053087,Lütau,64,100
01053111,Schnakenbek,51,61
01053128,Wangelau,88,70
01053001,Albsfelde,26,49
01053004,Bäk,52,25
01053016,Brunsmark,36,42
01053018,Buchholz,36,68
01053026,Einhaus,20,41
01053030,Fredeburg,62,71
01053033,Giesensdorf,54,43
01053040,Groß Disnack,45,43
01053041,Groß Grönau,49,84
01053043,Groß Sarau,47,67
01053051,Harmsdorf,68,46
01053054,Hollenbek,78,57
01053057,Horst,90,96
01053062,Kittlitz,68,81
01053066,Klein Zecher,93,78
01053078,Kulpin,100,31
01053088,Mechow,46,100
01053093,Mustin,38,88
01053098,Pogeez,41,43
01053102,Römnitz,85,56
01053107,Salem,85,36
01053110,Schmilau,30,25
01053117,Seedorf,19,67
01053123,Sterley,68,19
01053136,Ziethen,64,42
01053007,Basthorst,13,21
01053017,Brunstorf,62,45
01053021,Dahmker,33,35
01053027,Elmenhorst,94,53
01053031,Fuhlenhagen,90,99
01053036,Grabau,34,32
01053042,Groß Pampau,72,56
01053045,Grove,46,61
01053047,Gülzow,80,74
01053049,Hamfelde,10,25
01053052,Havekost,17,39
01053059,Kankelau,85,27
01053060,Kasseburg,36,100
01053070,Köthel,75,85
01053071,Kollow,63,18
01053076,Kuddewörde,17,38
01053089,Möhnsen,31,25
01053091,Mühlenrade,39,53
01053106,Sahms,25,55
01053025,Duvensee,82,57
01053038,Grinau,53,75
01053039,Groß Boden,95,82
01053044,Groß Schenkenberg,85,26
01053068,Klinkrade,43,34
01053069,Koberg,46,67
01053077,Kühsen,29,13
01053079,Labenz,61,63
01053081,Lankau,18,49
01053085,Linau,76,91
01053086,Lüchow,61,68
01053096,Nusse,34,84
01053097,Panten,97,85
01053099,Poggensee,54,42
01053101,Ritzerau,60,100
01053108,Sandesneben,60,92
01053109,Schiphorst,65,41
01053112,Schönberg,87,38
01053114,Schürensöhlen,42,14
01053118,Siebenbäumen,51,12
01053121,Sirksfelde,21,17
01053122,Steinhorst,87,48
01053124,Stubben,18,54
01053127,Walksfelde,97,25
01053130,Wentorf (Amt Sandesneben),16,81
01053105,Sachsenwald (Forstgutsbez.),32,73
01054033,Friedrichstadt,34,78
01054056,Husum,66,84
01054108,Reußenköge,59,29
01054138,Tönning,60,89
01054168,Sylt,71,23
01054035,Kirchspiel Garding,40,11
01054036,Garding,42,70
01054040,Grothusenkoog,42,82
01054063,Katharinenheerd,68,20
01054072,Kotzenbüll,86,100
01054090,Norderfriedrichskoog,72,19
01054095,Oldenswort,44,50
01054100,Osterhever,57,90
01054104,Poppenbüll,25,45
01054113,Sankt Peter-Ording,20,66
01054134,Tating,90,70
01054135,Tetenbüll,93,53
01054140,Tümlauer Koog,29,87
01054145,Vollerwiek,90,70
01054148,Welt,34,26
01054150,Westerhever,81,23
01054046,Hörnum (Sylt),96,29
01054061,Kampen (Sylt),97,63
01054078,List auf Sylt,14,69
01054149,Wenningstedt-Braderup (Sylt),17,46
01054003,Ahrenviöl,41,11
01054004,Ahrenviölfeld,53,29
01054011,Behrendorf,92,47
01054013,Bondelum,22,82
01054041,Haselund,17,58
01054057,Immenstedt,94,74
01054079,Löwenstedt,26,39
01054092,Norstedt,74,29
01054101,Oster-Ohrstedt,14,19
01054118,Schwesing,22,45
01054123,Sollwitt,53,63
01054144,Viöl,59,84
01054152,Wester-Ohrstedt,93,74
01054039,Gröde,84,23
01054050,Hallig Hooge,38,74
01054074,Langeneß,38,26
01054103,Pellworm,46,49
01054005,Alkersum,34,27
01054015,Borgsum,15,17
01054025,Dunsum,58,61
01054083,Midlum,30,76
01054085,Nebel,80,64
01054087,Nieblum,35,89
01054089,Norddorf auf Amrum,100,47
01054094,Oevenum,24,96
01054098,Oldsum,24,72
01054129,Süderende,57,92
01054143,Utersum,53,20
01054158,Witsum,75,13
01054160,Wittdün auf Amrum,48,100
01054163,Wrixum,32,49
01054164,Wyk auf Föhr,69,26
01054001,Achtrup,80,59
01054009,Aventoft,19,75
01054016,Bosbüll,39,38
01054017,Braderup,86,97
01054018,Bramstedtlund,25,15
01054022,Dagebüll,33,62
01054027,Ellhöft,34,74
01054034,Friedrich-Wilhelm-Lübke-Koog,55,40
01054048,Holm,29,33
01054055,Humptrup,35,96
01054062,Karlum,73,11
01054065,Klanxbüll,50,42
01054068,Klixbüll,41,99
01054073,Ladelund,26,44
01054076,Leck,13,23
01054077,Lexgaard,23,21
01054086,Neukirchen,53,54
01054088,Niebüll,38,76
01054109,Risum-Lindholm,58,78
01054110,Rodenäs,27,69
01054124,Sprakebüll,55,91
01054125,Stadum,66,83
01054126,Stedesand,42,57
01054131,Süderlügum,48,90
01054136,Tinningstedt,24,55
01054142,Uphusum,10,12
01054154,Westre,84,89
01054165,Galmsbüll,94,31
01054166,Emmelsbüll-Horsbüll,60,96
01054167,Enge-Sande,58,88
01054007,Arlewatt,38,61
01054023,Drage,68,67
01054026,Elisabeth-Sophien-Koog,45,91
01054032,Fresendelf,65,44
01054042,Hattstedt,41,73
01054043,Hattstedtermarsch,17,44
01054052,Horstedt,27,81
01054054,Hude,49,35
01054070,Koldenbüttel,77,52
01054084,Mildstedt,50,15
01054091,Nordstrand,85,46
01054096,Oldersbek,51,46
01054097,Olderup,84,31
01054099,Ostenfeld (Husum),73,92
01054105,Ramstedt,67,99
01054106,Rantrum,47,87
01054116,Schwabstedt,34,100
01054119,Seeth,44,12
01054120,Simonsberg,48,47
01054130,Süderhöft,57,49
01054132,Südermarsch,76,18
01054141,Uelvesbüll,96,91
01054156,Winnert,97,51
01054157,Wisch,54,41
01054159,Wittbek,80,12
01054161,Witzwort,94,86
01054162,Wobbenbüll,92,41
01054002,Ahrenshöft,48,20
01054006,Almdorf,51,67
01054010,Bargum,89,18
01054012,Bohmstedt,92,93
01054014,Bordelum,85,63
01054019,Bredstedt,18,37
01054020,Breklum,37,38
01054024,Drelsdorf,69,77
01054037,Goldebek,27,81
01054038,Goldelund,10,67
01054045,Högel,82,10
01054059,Joldelund,23,97
01054071,Kolkerheide,13,59
01054075,Langenhorn,20,31
01054080,Lütjenholm,27,51
01054093,Ockholm,71,94
01054121,Sönnebüll,37,21
01054128,Struckum,47,72
01054146,Vollstedt,41,14
01055001,Ahrensbök,59,16
01055004,Bad Schwartau,97,89
01055007,Bosau,57,50
01055010,Dahme,31,42
01055012,Eutin,73,73
01055016,Grömitz,65,56
01055018,Grube,22,30
01055021,Heiligenhafen,41,15
01055025,Kellenhusen (Ostsee),48,40
01055028,Malente,46,11
01055032,Neustadt in Holstein,55,54
01055033,Oldenburg in Holstein,29,46
01055035,Ratekau,81,42
01055040,Stockelsdorf,65,96
01055041,Süsel,65,33
01055042,Timmendorfer Strand,21,21
01055044,Scharbeutz,77,37
01055046,Fehmarn,70,88
01055014,Göhl,33,55
01055015,Gremersdorf,14,46
01055017,Großenbrode,37,41
01055022,Heringsdorf,49,69
01055031,Neukirchen,50,66
01055043,Wangels,78,94
01055006,Beschendorf,25,48
01055011,Damlos,71,14
01055020,Harmsdorf,37,91
01055023,Kabelhorst,41,53
01055027,Lensahn,57,82
01055029,Manhagen,13,11
01055036,Riepsdorf,23,70
01055002,Altenkrempe,80,48
01055024,Kasseedorf,26,64
01055037,Schashagen,20,27
01055038,Schönwalde am Bungsberg,23,41
01055039,Sierksdorf,62,78
01056002,Barmstedt,11,90
01056005,Bönningstedt,91,83
01056015,Elmshorn,75,87
01056018,Halstenbek,53,57
01056021,Hasloh,86,77
01056025,Helgoland,30,39
01056039,Pinneberg,11,76
01056041,Quickborn,99,78
01056043,Rellingen,70,73
01056044,Schenefeld,10,84
01056048,Tornesch,67,71
01056049,Uetersen,88,29
01056050,Wedel,78,59
01056029,Klein Nordende,25,10
01056030,Klein Offenseth-Sparrieshoop,66,64
01056031,Kölln-Reisiek,51,67
01056033,Seester,55,19
01056042,Raa-Besenbek,41,46
01056045,Seestermühe,98,67
01056046,Seeth-Ekholt,89,47
01056006,Bokel,85,67
01056010,Brande-Hörnerkirchen,55,18
01056038,Osterhorn,51,60
01056051,Westerhorn,12,80
01056003,Bevern,26,30
01056004,Bilsen,51,60
01056008,Bokholt-Hanredder,38,93
01056011,Bullenkuhlen,21,75
01056014,Ellerhoop,47,35
01056017,Groß Offenseth-Aspern,52,26
01056022,Heede,57,86
01056026,Hemdingen,22,40
01056034,Langeln,24,13
01056035,Lutzhorn,15,90
01056009,Borstel-Hohenraden,40,60
01056013,Ellerbek,71,64
01056032,Kummerfeld,65,42
01056040,Prisdorf,17,29
01056047,Tangstedt,66,97
01056001,Appen,23,14
01056016,Groß Nordende,64,33
01056019,Haselau,53,76
01056020,Haseldorf,52,17
01056023,Heidgraben,11,43
01056024,Heist,81,99
01056027,Hetlingen,54,52
01056028,Holm,54,42
01056036,Moorrege,22,50
01056037,Neuendeich,46,27
01057001,Ascheberg (Holstein),80,43
01057008,Bönebüttel,42,51
01057009,Bösdorf,18,25
01057057,Plön,23,22
01057062,Preetz,13,15
01057091,Schwentinental,71,60
01057004,Behrensdorf (Ostsee),57,92
01057007,Blekendorf,93,74
01057013,Dannau,35,91
01057021,Giekau,79,53
01057026,Helmstorf,75,43
01057027,Högsdorf,100,33
01057029,Hohenfelde,60,22
01057030,Hohwacht (Ostsee),32,49
01057034,Kirchnüchel,10,49
01057035,Klamp,49,52
01057038,Kletkamp,81,47
01057048,Lütjenburg,21,71
01057055,Panker,39,71
01057076,Schwartbuck,13,20
01057082,Tröndel,45,58
01057015,Dersau,95,24
01057017,Dörnick,75,89
01057022,Grebin,36,54
01057032,Kalübbe,30,72
01057045,Lebrade,66,62
01057053,Nehmten,95,51
01057065,Rantzau,82,81
01057067,Rathjensdorf,45,65
01057089,Wittmoldt,63,68
01057002,Barmissen,26,99
01057010,Boksee,62,30
01057011,Bothkamp,41,98
01057023,Großbarkau,63,47
01057031,Honigsee,81,11
01057033,Kirchbarkau,18,46
01057037,Klein Barkau,60,62
01057042,Kühren,27,21
01057046,Lehmkuhlen,78,71
01057047,Löptin,38,12
01057054,Nettelsee,73,48
01057058,Pohnsdorf,52,89
01057059,Postfeld,98,18
01057066,Rastorf,100,49
01057070,Schellhorn,59,100
01057084,Wahlstorf,40,49
01057086,Warnau,29,39
01057003,Barsbek,100,36
01057006,Bendfeld,42,67
01057012,Brodersdorf,40,12
01057018,Fahren,62,47
01057020,Fiefbergen,24,91
01057028,Höhndorf,30,27
01057039,Köhn,14,15
01057040,Krokau,29,11
01057041,Krummbek,60,43
01057043,Laboe,34,25
01057049,Lutterbek,62,80
01057056,Passade,57,97
01057060,Prasdorf,26,98
01057063,Probsteierhagen,46,70
01057073,Schönberg (Holstein),80,19
01057078,Stakendorf,69,42
01057079,Stein,11,71
01057081,Stoltenberg,63,61
01057087,Wendtorf,29,84
01057088,Wisch,67,53
01057016,Dobersdorf,70,88
01057044,Lammershagen,68,43
01057050,Martensrade,17,18
01057052,Mucheln,79,52
01057072,Schlesen,55,38
01057077,Selent,81,18
01057090,Fargau-Pratjau,56,38
01057025,Heikendorf,83,95
01057051,Mönkeberg,57,99
01057074,Schönkirchen,96,66
01057005,Belau,19,39
01057024,Großharrie,26,85
01057068,Rendswühren,99,53
01057069,Ruhwinkel,26,20
01057071,Schillsdorf,51,36
01057080,Stolpe,50,65
01057083,Tasdorf,73,95
01057085,Wankendorf,67,100
01058005,Altenholz,72,59
01058034,Büdelsdorf,16,83
01058043,Eckernförde,29,46
01058092,Kronshagen,100,73
01058135,Rendsburg,83,73
01058169,Wasbek,89,34
01058001,Achterwehr,87,64
01058028,Bredenbek,94,13
01058050,Felde,72,65
01058093,Krummwisch,29,49
01058104,Melsdorf,21,92
01058126,Ottendorf,26,59
01058130,Quarnbek,95,47
01058171,Westensee,15,29
01058037,Dänischenhagen,60,79
01058116,Noer,79,58
01058150,Schwedeneck,62,91
01058157,Strande,27,79
01058051,Felm,46,92
01058058,Gettorf,27,87
01058096,Lindau,91,34
01058110,Neudorf-Bornstein,32,68
01058112,Neuwittenbek,52,91
01058121,Osdorf,40,77
01058142,Schinkel,59,18
01058165,Tüttendorf,99,35
01058003,Alt Duvenstedt,62,71
01058054,Fockbek,53,65
01058118,Nübbel,42,57
01058136,Rickert,72,40
01058010,Bargstall,21,55
01058029,Breiholz,78,66
01058036,Christiansholm,76,32
01058047,Elsdorf-Westermühlen,61,12
01058055,Friedrichsgraben,94,52
01058056,Friedrichsholm,54,52
01058070,Hamdorf,86,77
01058078,Hohn,10,10
01058089,Königshügel,93,18
01058097,Lohe-Föhrden,35,99
01058129,Prinzenmoor,83,96
01058154,Sophienhamm,63,96
01058031,Brinjahe,24,10
01058048,Embühren,22,63
01058068,Haale,28,17
01058071,Hamweddel,48,19
01058075,Hörsten,15,86
01058086,Jevenstedt,98,23
01058101,Luhnstedt,36,38
01058148,Schülp b.Rendsburg,36,66
01058155,Stafstedt,65,63
01058172,Westerrönfeld,92,91
01058011,Bargstedt,31,74
01058021,Bokel,16,48
01058023,Borgdorf-Seedorf,46,68
01058027,Brammer,40,29
01058038,Dätgen,78,51
01058045,Eisendorf,80,52
01058046,Ellerdorf,99,47
01058049,Emkendorf,86,45
01058059,Gnutz,84,38
01058065,Groß Vollstedt,36,10
01058091,Krogaspe,59,40
01058094,Langwedel,42,28
01058117,Nortorf,35,80
01058120,Oldenhütten,15,76
01058147,Schülp b.Nortorf,71,22
01058163,Timmaspe,64,91
01058168,Warder,69,14
01058026,Bovenau,17,94
01058073,Haßmoor,71,57
01058122,Ostenfeld (Rendsburg),100,18
01058124,Osterrönfeld,35,87
01058132,Rade b.Rendsburg,71,41
01058140,Schacht-Audorf,41,15
01058146,Schülldorf,61,20
01058016,Bissee,31,87
01058022,Bordesholm,15,87
01058033,Brügge,58,17
01058063,Grevenkrug,51,97
01058064,Groß Buchwald,38,17
01058076,Hoffeld,56,57
01058098,Loop,14,59
01058108,Mühbrook,99,17
01058109,Negenharrie,16,68
01058133,Reesdorf,83,19
01058143,Schmalstede,91,58
01058144,Schönbek,22,41
01058153,Sören,22,14
01058170,Wattenbek,82,19
01058008,Ascheffel,36,16
01058024,Borgstedt,56,32
01058030,Brekendorf,62,89
01058035,Bünsdorf,97,36
01058039,Damendorf,56,59
01058066,Groß Wittensee,60,53
01058069,Haby,85,69
01058080,Holtsee,32,20
01058081,Holzbunge,89,52
01058083,Hütten,71,33
01058088,Klein Wittensee,20,97
01058111,Neu Duvenstedt,84,83
01058123,Osterby,34,54
01058127,Owschlag,51,48
01058152,Sehestedt,49,16
01058175,Ahlefeld-Bistensee,90,13
01058004,Altenhof,72,96
01058012,Barkelsby,13,75
01058032,Brodersby,45,43
01058040,Damp,36,65
01058042,Dörphof,60,24
01058052,Fleckeby,35,37
01058057,Gammelby,39,66
01058067,Güby,30,80
01058082,Holzdorf,12,43
01058084,Hummelfeld,81,20
01058087,Karby,30,93
01058090,Kosel,94,89
01058099,Loose,69,90
01058102,Goosefeld,37,97
01058137,Rieseby,59,77
01058162,Thumby,14,94
01058166,Waabs,84,34
01058173,Windeby,92,78
01058174,Winnemark,33,11
01058007,Arpsdorf,95,76
01058009,Aukrug,32,27
01058013,Beldorf,73,64
01058014,Bendorf,44,72
01058015,Beringstedt,51,19
01058025,Bornholt,25,73
01058044,Ehndorf,30,69
01058061,Gokels,30,68
01058062,Grauel,79,51
01058072,Hanerau-Hademarschen,32,85
01058074,Heinkenborstel,14,56
01058077,Hohenwestedt,27,70
01058085,Jahrsdorf,85,89
01058100,Lütjenwestedt,20,99
01058103,Meezen,61,71
01058106,Mörel,66,84
01058113,Nienborstel,26,69
01058115,Nindorf,87,66
01058119,Oldenbüttel,69,81
01058125,Osterstedt,38,99
01058128,Padenstedt,86,36
01058131,Rade b.Hohenwestedt,41,63
01058134,Remmels,36,42
01058151,Seefeld,69,36
01058156,Steenfeld,70,57
01058158,Tackesdorf,40,54
01058159,Tappendorf,82,18
01058161,Thaden,40,80
01058164,Todenbüttel,46,86
01058167,Wapelfeld,18,35
01058018,Blumenthal,95,27
01058019,Böhnhusen,19,39
01058053,Flintbek,75,67
01058105,Mielkendorf,52,79
01058107,Molfsee,76,56
01058138,Rodenbek,10,18
01058139,Rumohr,63,13
01058141,Schierensee,88,97
01058145,Schönhorst,36,82
01058160,Techelsdorf,10,75
01059045,Kappeln,11,43
01059075,Schleswig,69,61
01059113,Glücksburg (Ostsee),34,73
01059120,Harrislee,25,61
01059183,Handewitt,16,34
01059107,Eggebek,14,42
01059128,Janneby,12,72
01059131,Jerrishoe,69,37
01059132,Jörl,39,33
01059138,Langstedt,30,50
01059162,Sollerup,17,67
01059169,Süderhackstedt,24,73
01059174,Wanderup,21,27
01059012,Borgwedel,44,100
01059018,Busdorf,55,11
01059019,Dannewerk,38,79
01059026,Fahrdorf,94,79
01059032,Geltorf,29,90
01059043,Jagel,98,95
01059056,Lottorf,18,59
01059078,Selk,86,63
01059103,Ausacker,92,19
01059116,Großsolt,85,50
01059126,Hürup,11,54
01059127,Husby,66,93
01059182,Freienwill,33,49
01059002,Arnis,69,60
01059034,Grödersby,43,42
01059067,Oersberg,55,81
01059068,Rabenkirchen-Faulück,41,90
01059106,Dollerup,72,85
01059118,Grundhof,57,89
01059137,Langballig,26,29
01059145,Munkbrarup,25,58
01059157,Ringsberg,51,24
01059176,Wees,38,15
01059178,Westerholz,90,79
01059159,Sieverstedt,79,65
01059171,Tarp,71,33
01059184,Oeversee,82,33
01059076,Schnarup-Thumby,19,83
01059161,Sörup,43,59
01059185,Mittelangeln,42,85
01059105,Böxlund,78,69
01059115,Großenwiehe,43,90
01059123,Hörup,74,59
01059124,Holt,42,94
01059129,Jardelund,30,10
01059143,Medelby,45,53
01059144,Meyn,64,39
01059149,Nordhackstedt,47,47
01059151,Osterby,40,84
01059158,Schafflund,37,12
01059173,Wallsbüll,84,39
01059177,Weesby,44,61
01059179,Lindewitt,57,84
01059006,Böel,46,65
01059055,Loit,34,86
01059060,Mohrkirch,31,38
01059063,Norderbrarup,79,45
01059065,Nottfeld,21,12
01059070,Rügge,69,90
01059072,Saustrup,22,57
01059074,Scheggerott,65,56
01059080,Steinfeld,46,43
01059083,Süderbrarup,48,38
01059094,Ulsnis,21,81
01059095,Wagersrott,98,97
01059187,Boren,28,37
01059008,Böklund,76,52
01059037,Havetoft,39,99
01059042,Idstedt,34,13
01059049,Klappholz,47,54
01059062,Neuberend,17,93
01059073,Schaalby,97,15
01059081,Stolk,21,77
01059082,Struxdorf,19,33
01059084,Süderfahrenstedt,62,71
01059086,Taarstedt,21,22
01059090,Tolk,87,71
01059093,Uelsby,10,90
01059097,Twedt,82,91
01059098,Nübel,47,12
01059189,Brodersby-Goltoft,12,50
01059102,Ahneby,23,94
01059109,Esgrus,26,50
01059112,Gelting,11,23
01059121,Hasselberg,72,94
01059136,Kronsgaard,14,50
01059142,Maasholm,12,27
01059147,Nieby,37,46
01059148,Niesgrau,58,88
01059152,Pommerby,95,18
01059154,Rabel,35,95
01059155,Rabenholz,42,12
01059163,Stangheck,19,18
01059164,Steinberg,86,79
01059167,Sterup,28,93
01059168,Stoltebüll,71,24
01059186,Steinbergkirche,73,30
01059010,Bollingstedt,90,14
01059023,Ellingstedt,93,77
01059039,Hollingstedt,81,18
01059041,Hüsby,35,82
01059044,Jübek,75,91
01059057,Lürschau,14,89
01059077,Schuby,94,21
01059079,Silberstedt,40,61
01059092,Treia,11,70
01059001,Alt Bennebek,86,77
01059005,Bergenhusen,49,98
01059009,Börm,34,60
01059020,Dörpstedt,24,35
01059024,Erfde,17,91
01059035,Groß Rheide,40,97
01059050,Klein Bennebek,38,29
01059051,Klein Rheide,18,63
01059053,Kropp,48,54
01059058,Meggerdorf,47,31
01059087,Tetenhusen,20,46
01059088,Tielen,89,39
01059096,Wohlde,11,34
01059188,Stapel,68,83
01060004,Bad Bramstedt,88,70
01060005,Bad Segeberg,86,88
01060019,Ellerau,54,47
01060039,Henstedt-Ulzburg,65,15
01060044,Kaltenkirchen,48,27
01060063,Norderstedt,90,86
01060092,Wahlstedt,83,18
01060003,Armstedt,24,77
01060009,Bimöhlen,84,59
01060013,Borstel,43,54
01060021,Föhrden-Barl,40,87
01060023,Fuhlendorf,21,15
01060027,Großenaspe,38,49
01060031,Hagen,48,30
01060033,Hardebek,69,99
01060035,Hasenkrug,62,92
01060037,Heidmoor,55,80
01060040,Hitzhusen,41,84
01060056,Mönkloh,51,70
01060095,Weddelbrook,36,19
01060099,Wiemersdorf,30,32
01060012,Bornhöved,98,80
01060017,Damsdorf,33,55
01060026,Gönnebek,26,46
01060072,Schmalensee,42,26
01060080,Stocksee,90,99
01060086,Tarbek,37,83
01060087,Tensfeld,69,63
01060089,Trappenkamp,82,23
01060043,Itzstedt,37,99
01060046,Kayhude,58,53
01060058,Nahe,29,10
01060065,Oering,33,54
01060076,Seth,29,57
01060085,Sülfeld,17,99
01060002,Alveslohe,97,17
01060034,Hartenholm,61,65
01060036,Hasenmoor,61,56
01060054,Lentföhrden,31,65
01060064,Nützen,71,14
01060073,Schmalfeld,86,10
01060042,Hüttblek,39,10
01060045,Kattendorf,25,56
01060047,Kisdorf,11,51
01060066,Oersdorf,88,75
01060077,Sievershütten,51,51
01060082,Struvenhütten,92,27
01060084,Stuvenborn,86,15
01060094,Wakendorf II,70,50
01060100,Winsen,51,50
01060007,Bark,56,83
01060008,Bebensee,28,22
01060022,Fredesdorf,73,100
01060029,Groß Niendorf,36,41
01060041,Högersdorf,46,54
01060051,Kükels,10,66
01060053,Leezen,36,89
01060057,Mözen,98,36
01060062,Neversdorf,69,74
01060074,Schwissel,40,70
01060088,Todesfelde,87,29
01060101,Wittenborn,94,25
01060011,Boostedt,59,60
01060016,Daldorf,19,49
01060028,Groß Kummerfeld,52,50
01060038,Heidmühlen,45,56
01060052,Latendorf,35,87
01060068,Rickling,44,46
01060006,Bahrenhof,37,26
01060010,Blunk,83,63
01060015,Bühnsdorf,82,40
01060018,Dreggers,85,91
01060020,Fahrenkrug,63,97
01060024,Geschendorf,71,55
01060025,Glasau,76,14
01060030,Groß Rönnau,63,61
01060048,Klein Gladebrügge,44,54
01060049,Klein Rönnau,18,95
01060050,Krems II,49,10
01060059,Negernbötel,16,26
01060060,Nehms,73,35
